party,Total wins,Leave Wins,Remain Wins,Remain Percentage,Remain wins / Total Remain Wins (%),Leave wins / Total Leave Wins (%)
Conservative,330,250,80,24.2,33.3,61.0
Labour,232,148,84,36.2,35.0,36.1
SNP,56,1,55,98.2,22.9,0.2
Liberal Democrat,8,2,6,75.0,2.5,0.5
Democratic Unionist,8,6,2,25.0,0.8,1.5
Sinn Fein,4,0,4,100.0,1.7,0.0
SDLP,3,0,3,100.0,1.3,0.0
Plaid Cymru,3,1,2,66.7,0.8,0.2
Ulster Unionist,2,1,1,50.0,0.4,0.2
Green,1,0,1,100.0,0.4,0.0
UKIP,1,1,0,0.0,0.0,0.2
Independent,1,0,1,100.0,0.4,0.0
Speaker,1,0,1,100.0,0.4,0.0
